Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitECFPMorganFP/AKT3_Nearest Neighbors,0.523364,0.750000,0.976636,1.738834e-08
RDKitECFPMorganFP/AKT3_Linear SVM,0.720457,0.897549,0.985981,9.403753e-09
RDKitECFPMorganFP/AKT3_RBF SVM,0.046729,0.497549,0.948598,3.836902e-08
RDKitECFPMorganFP/AKT3_Gaussian Process,0.532977,0.797549,0.976636,1.858965e-06
RDKitECFPMorganFP/AKT3_Decision Tree,0.558463,0.845098,0.976636,5.579954e-09
RDKitECFPMorganFP/AKT3_Random Forest,0.046729,0.500000,0.953271,5.018533e-07
RDKitECFPMorganFP/AKT3_AdaBoost,0.558463,0.845098,0.976636,7.420693e-08
RDKitECFPMorganFP/AKT3_Naive Bayes,0.558463,0.845098,0.976636,6.912403e-09
RDKitECFPMorganFP/AKT3_QDA,0.056818,0.593137,0.224299,8.733581e-08
RDKitECFPMorganFP/AKT3_PLS-DA,0.813458,0.895098,0.976636,6.076439e-07
RDKitECFPMorganFP/AKT3_DNN,0.799364,0.907353,0.967290,2.050722e-05
RDKitECFPMorganFP/AMPK-alpha1_Nearest Neighbors,0.042056,0.500000,0.957944,4.494992e-08
RDKitECFPMorganFP/AMPK-alpha1_Linear SVM,0.121599,0.603794,0.953271,1.146696e-08
RDKitECFPMorganFP/AMPK-alpha1_RBF SVM,0.042056,0.500000,0.957944,3.852365e-08
RDKitECFPMorganFP/AMPK-alpha1_Gaussian Process,0.148494,0.555556,0.962617,7.108811e-06
RDKitECFPMorganFP/AMPK-alpha1_Decision Tree,0.092939,0.553117,0.957944,6.847818e-09
RDKitECFPMorganFP/AMPK-alpha1_Random Forest,0.042056,0.500000,0.957944,5.055753e-07
RDKitECFPMorganFP/AMPK-alpha1_AdaBoost,0.245587,0.712466,0.957944,7.606360e-08
RDKitECFPMorganFP/AMPK-alpha1_Naive Bayes,0.170895,0.656911,0.953271,6.218872e-09
RDKitECFPMorganFP/AMPK-alpha1_QDA,0.047254,0.556640,0.252336,9.813717e-08
RDKitECFPMorganFP/AMPK-alpha1_PLS-DA,0.372205,0.783198,0.962617,6.148381e-07
RDKitECFPMorganFP/AMPK-alpha1_DNN,0.265598,0.695393,0.957944,2.076255e-05
RDKitECFPMorganFP/ARK5_Nearest Neighbors,0.142056,0.550000,0.957944,1.532114e-08
RDKitECFPMorganFP/ARK5_Linear SVM,0.145210,0.637745,0.943925,8.746406e-09
