Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitDescriptorsResults/BIKE_Linear SVM,0.209242,0.595068,0.873832,5.297623e-09
RDKitDescriptorsResults/BIKE_RBF SVM,0.126168,0.500000,0.873832,1.721244e-08
RDKitDescriptorsResults/BIKE_Gaussian Process,0.126168,0.500000,0.873832,1.544337e-06
RDKitDescriptorsResults/BIKE_Decision Tree,0.255806,0.655773,0.869159,1.035763e-08
RDKitDescriptorsResults/BIKE_Random Forest,0.126168,0.500000,0.873832,7.655479e-07
RDKitDescriptorsResults/BIKE_AdaBoost,0.271612,0.647950,0.883178,1.156064e-07
RDKitDescriptorsResults/BIKE_Naive Bayes,0.154932,0.604674,0.364486,4.397803e-09
RDKitDescriptorsResults/BIKE_QDA,0.126168,0.500000,0.873832,3.501390e-08
RDKitDescriptorsResults/BIKE_PLS-DA,0.480702,0.820757,0.883178,1.279935e-07
RDKitDescriptorsResults/BIKE_DNN,0.576494,0.868093,0.897196,2.000857e-05
RDKitDescriptorsResults/BLK_Nearest Neighbors,0.311165,0.674342,0.906542,1.483455e-08
RDKitDescriptorsResults/BLK_Linear SVM,0.237595,0.598904,0.901869,9.382152e-09
RDKitDescriptorsResults/BLK_RBF SVM,0.149143,0.520833,0.892523,1.860986e-08
RDKitDescriptorsResults/BLK_Gaussian Process,0.112150,0.500000,0.887850,2.378598e-06
RDKitDescriptorsResults/BLK_Decision Tree,0.160125,0.567544,0.878505,1.307797e-08
RDKitDescriptorsResults/BLK_Random Forest,0.186137,0.541667,0.897196,7.388457e-07
RDKitDescriptorsResults/BLK_AdaBoost,0.317191,0.658772,0.911215,1.160499e-07
RDKitDescriptorsResults/BLK_Naive Bayes,0.131868,0.584211,0.261682,4.945534e-09
RDKitDescriptorsResults/BLK_QDA,0.112150,0.492105,0.873832,2.936814e-08
RDKitDescriptorsResults/BLK_PLS-DA,0.571147,0.846711,0.901869,1.313847e-07
RDKitDescriptorsResults/BLK_DNN,0.514917,0.885965,0.892523,1.989176e-05
RDKitDescriptorsResults/BMPR1B_Nearest Neighbors,0.277498,0.615385,0.953271,1.805325e-08
RDKitDescriptorsResults/BMPR1B_Linear SVM,0.219806,0.612897,0.948598,5.023724e-09
